instancia,q-medio,q-desvio,tempo,alfa,mutacao,filhos
Western Sahara,92955,6913.85,52.201043034001486,5,90,90
Western Sahara,95304,7258.94,52.20115070399697,10,90,90
Western Sahara,91855,7106.6,52.20084606299861,15,90,90
Western Sahara,92055,7712.72,52.200705073999416,20,90,90
Western Sahara,88289,7259.1,52.20070022299842,80,90,90
Western Sahara,91435,9423.31,52.201179324001714,85,90,90
Western Sahara,89662,4769.18,52.20090373400308,90,90,90
Western Sahara,91778,10119.76,52.20126774399978,5,90,95
Western Sahara,91513,7219.41,52.20109740400221,10,90,95
Western Sahara,87886,6537.01,52.20140817399806,15,90,95
Western Sahara,84662,4616.61,52.20106258300075,20,90,95
Western Sahara,89327,8210.47,52.20112464400154,80,90,95
Western Sahara,97077,5397.92,52.20132434400148,85,90,95
Western Sahara,93245,4159.72,52.2010531929991,90,90,95
Western Sahara,93754,9068.89,52.200956743999996,5,90,100
Western Sahara,90964,7927.46,52.20076341299864,10,90,100
Western Sahara,90513,10130.19,52.201236974000494,15,90,100
Western Sahara,94432,8244.64,52.20101059400258,20,90,100
Western Sahara,90716,8639.22,52.20100419400114,80,90,100
Western Sahara,87405,5762.88,52.200842274000024,85,90,100
Western Sahara,88935,9512.73,52.20097599399742,90,90,100
Djibouti,12804,571.65,68.401376781,5,5,5
Djibouti,12737,590.94,68.40121843,10,5,5
Djibouti,13030,542.0,68.40126815899998,15,5,5
Djibouti,12801,966.23,68.40171408,20,5,5
Djibouti,12740,448.73,68.401362759,80,5,5
Djibouti,13043,346.33,68.40174909999996,85,5,5
Djibouti,13008,367.74,68.40163230999997,90,5,5
Djibouti,12902,670.79,68.40115487900005,5,5,10
Djibouti,12901,364.36,68.400970959,10,5,10
Djibouti,13054,285.42,68.40159222,15,5,10
Djibouti,12882,470.04,68.40152120900007,20,5,10
Djibouti,12986,573.95,68.40171428999997,80,5,10
Djibouti,12707,519.57,68.4019364699999,85,5,10
Djibouti,12683,555.94,68.40163631899998,90,5,10
Djibouti,12869,414.38,68.40115341899991,5,5,15
Djibouti,12832,444.39,68.40111735899995,10,5,15
Djibouti,12640,576.1,68.40161223999985,15,5,15
Djibouti,13030,313.25,68.40155191900021,20,5,15
Djibouti,12922,476.17,68.40150418899998,80,5,15
Djibouti,12838,444.46,68.40107510899998,85,5,15
Djibouti,12777,576.89,68.40171085999987,90,5,15
